meeting_number,date,host,cocktail,country_of_origin,city_of_origin,latitude,longitude,primary_liquor,whiskey_type,year_invented,era
1,1/22/2015,Chris,Sazerac,USA,"New Orleans, Louisiana",29.9511,-90.0715,whiskey,rye,1838,1800s
2,2/26/2015,Joe,Sidecar,France,Paris,48.8566,2.3522,brandy,N/A,1920,1920-1939
3,3/27/2015,John,Rusty Nail,USA,USA,39.8283,-98.5795,whiskey,scotch,1937,1920-1939
4,4/23/2015,Chris,Harvey Wallbanger,USA,"Los Angeles, California",34.0522,-118.2437,vodka,N/A,1952,1940-1959
5,7/29/2015,Joe,Rum Ball,USA,USA,39.8283,-98.5795,rum,N/A,1950,1940-1959
6,11/5/2015,John,Old Fashion,USA,"Louisville, Kentucky",38.2527,-85.7585,whiskey,bourbon,1880,1800s
7,12/17/2015,Chris,Between the Sheets,France,Paris,48.8566,2.3522,brandy,N/A,1930,1920-1939
8,1/26/2016,Joe,Whiskey Sour,USA,USA,39.8283,-98.5795,whiskey,bourbon,1870,1800s
9,3/25/2016,Lucas,Negroni,Italy,Florence,43.7696,11.2558,gin,N/A,1919,1900-1919
10,5/26/2016,John,Bloody Mary,France,Paris,48.8566,2.3522,vodka,N/A,1921,1920-1939
11,8/10/2016,Chris,Stinger,USA,USA,39.8283,-98.5795,brandy,N/A,1890,1800s
12,9/29/2016,Joe,Soft Wink,USA,USA,39.8283,-98.5795,whiskey,whiskey,1960,1960-1979
13,12/8/2016,Lucas,The Magnificent Bastard,USA,USA,39.8283,-98.5795,whiskey,whiskey,2000,2000+
14,1/26/2017,John,Manhattan,USA,"New York, New York",40.7128,-74.006,whiskey,rye,1874,1800s
15,3/9/2017,Chris,Vieux Carre,USA,"New Orleans, Louisiana",29.9511,-90.0715,whiskey,rye,1938,1920-1939
16,5/4/2017,Joe,Vodka Martini (Kangaroo),USA,USA,39.8283,-98.5795,vodka,N/A,1950,1940-1959
17,8/10/2017,Lucas,The Sun Also Sets,USA,USA,39.8283,-98.5795,whiskey,whiskey,2000,2000+
18,9/14/2017,John,Moscow Mule,USA,"Los Angeles, California",34.0522,-118.2437,vodka,N/A,1941,1940-1959
19,10/26/2017,Chris,The Aviation,USA,"New York, New York",40.7128,-74.006,gin,N/A,1916,1900-1919
20,1/25/2018,Joe,Black Russian,Belgium,Brussels,50.8503,4.3517,vodka,N/A,1949,1940-1959
21,3/8/2018,Eric,Black Ginger,USA,USA,39.8283,-98.5795,whiskey,whiskey,2000,2000+
22,5/10/2018,John,Old Pal,France,Paris,48.8566,2.3522,whiskey,rye,1922,1920-1939
23,8/9/2018,Adam,Hemingway Daiquiri,Cuba,Havana,23.1136,-82.3666,rum,N/A,1930,1920-1939
24,11/1/2018,Lucas,The Packie,USA,USA,39.8283,-98.5795,whiskey,whiskey,2000,2000+
25,1/24/2019,Chris,The Scofflaw,USA,USA,39.8283,-98.5795,whiskey,rye,1924,1920-1939
26,3/7/2019,Joe,Hurricane,USA,"New Orleans, Louisiana",29.9511,-90.0715,rum,N/A,1940,1940-1959
27,5/2/2019,Eric,Dark & Stormy,Bermuda,Bermuda,32.3078,-64.7505,rum,N/A,1950,1940-1959
