meeting_number,meeting_date,presenter,album_position,artist,album_title,release_year,label,genre,micro_genre,nation_of_origin,city_of_origin
1,1/22/2015,Chris,headliner,King Crimson,In the Court of the Crimson King,1969,Island,Progressive Rock,Symphonic Prog,UK,London
2,2/26/2015,Joe,headliner,Mountain,Nantucket Sleighride,1971,Windfall,Hard Rock,Proto-Metal,USA,"New York, New York"
3,3/27/2015,John,warm_up_1,Sebadoh,Sebadoh III,1991,Homestead,Indie Rock,Lo-Fi Indie Rock,USA,"Northampton, Massachusetts"
3,3/27/2015,John,warm_up_2,Yo La Tengo,I Can Hear the Heart Beating as One,1997,Matador,Indie Rock,Indie Pop / Noise Pop,USA,"Hoboken, New Jersey"
3,3/27/2015,John,headliner,Ben Lee,Grandpaw Would,1995,Modular,Alternative Rock,Twee Pop,Australia,Sydney
4,4/23/2015,Chris,headliner,The Knife,Silent Shout,2006,Rabid,Electronic,Synthpop / Minimal Wave,Sweden,Gothenburg
5,7/29/2015,Joe,warm_up_1,Jefferson Airplane,Surrealistic Pillow,1967,RCA Victor,Psychedelic Rock,Acid Rock,USA,"San Francisco, California"
5,7/29/2015,Joe,warm_up_2,Talking Heads,Talking Heads: 77,1977,Sire,New Wave,Art Punk / No Wave,USA,"New York, New York"
6,11/5/2015,John,headliner,The Afghan Whigs,Black Love,1996,Elektra,Alternative Rock,Grunge / Alternative R&B,USA,"Cincinnati, Ohio"
7,12/17/2015,Chris,headliner,The Stooges,Raw Power,1973,Columbia,Punk Rock,Proto-Punk,USA,"Ann Arbor, Michigan"
8,1/26/2016,Joe,warm_up_1,James Brown,Say It Loud,1969,King,Funk,Funk / Soul Jazz,USA,"Augusta, Georgia"
8,1/26/2016,Joe,warm_up_2,Various Artists,David Bowie Tribute,2016,Various,Rock,Tribute Album,Various,Various
9,3/25/2016,Lucas,warm_up_1,Paul Simon,Graceland,1986,Warner Bros.,World Music,Worldbeat / Sophisti-Pop,USA,"Newark, New Jersey"
9,3/25/2016,Lucas,warm_up_2,Arcade Fire,Funeral,2004,Merge,Indie Rock,Baroque Pop,Canada,"Montreal, Quebec"
9,3/25/2016,Lucas,headliner,Vampire Weekend,Vampire Weekend,2008,XL,Indie Rock,Afro-Pop Influenced Indie,USA,"New York, New York"
10,5/26/2016,John,warm_up_1,The Replacements,Pleased to Meet Me,1987,Sire,Alternative Rock,Cowpunk / Power Pop,USA,"Minneapolis, Minnesota"
10,5/26/2016,John,warm_up_2,The Jam,Setting Sons,1979,Polydor,Punk Rock,Mod Revival / Power Pop,UK,"Woking, Surrey"
10,5/26/2016,John,headliner,Big Star,#1 Record,1972,Ardent,Power Pop,Jangle Pop / Power Pop,USA,"Memphis, Tennessee"
11,8/10/2016,Chris,warm_up_1,Joy Division,Unknown Pleasures,1979,Factory,Post-Punk,Post-Punk / Coldwave,UK,Manchester
11,8/10/2016,Chris,warm_up_2,Genesis,Selling England by the Pound,1973,Charisma,Progressive Rock,Symphonic Prog,UK,"Godalming, Surrey"
11,8/10/2016,Chris,headliner,Radiohead,A Moon Shaped Pool,2016,XL,Alternative Rock,Art Rock / Chamber Pop,UK,"Abingdon, Oxfordshire"
12,9/29/2016,Joe,warm_up_1,Adrian Belew,Young Lions,1990,Atlantic,Art Rock,Progressive Pop / Art Rock,USA,"Covington, Kentucky"
12,9/29/2016,Joe,warm_up_2,Robin Trower,Bridge of Sighs,1974,Chrysalis,Blues Rock,Blues Rock / Psychedelic Blues,UK,London
12,9/29/2016,Joe,headliner,Santana,Moonflower,1977,Columbia,Latin Rock,Latin Rock / Jazz Fusion,USA,"San Francisco, California"
13,12/8/2016,Lucas,warm_up_1,Frightened Rabbit,Midnight Organ Fight,2008,Fat Cat,Indie Rock,Scottish Indie Rock,UK,"Selkirk, Scotland"
13,12/8/2016,Lucas,warm_up_2,Leonard Cohen,Various Positions,1984,Columbia,Folk,Chamber Folk,Canada,"Montreal, Quebec"
13,12/8/2016,Lucas,headliner,Bob Dylan,Blood on the Tracks,1975,Columbia,Folk Rock,Singer-Songwriter / Heartland Rock,USA,"Duluth, Minnesota"
14,1/26/2017,John,warm_up_1,Galaxie 500,On Fire,1989,4AD,Dream Pop,Slowcore / Dream Pop,USA,"Cambridge, Massachusetts"
14,1/26/2017,John,warm_up_2,Morphine,Cure for Pain,1993,Rykodisc,Alternative Rock,Low Rock / Noir Jazz,USA,"Cambridge, Massachusetts"
14,1/26/2017,John,headliner,Built to Spill,Perfect from Now On,1997,Warner Bros.,Indie Rock,Indie Rock / Midwest Emo Influenced,USA,"Boise, Idaho"
15,3/9/2017,Chris,warm_up_1,MC5,Kick Out the Jams,1969,Elektra,Punk Rock,Proto-Punk / Garage Rock,USA,"Detroit, Michigan"
15,3/9/2017,Chris,warm_up_2,Mastodon,Crack the Skye,2009,Reprise,Progressive Metal,Progressive Sludge Metal,USA,"Atlanta, Georgia"
15,3/9/2017,Chris,headliner,Black Sabbath,Vol. 4,1972,Vertigo,Heavy Metal,Heavy Psych / Doom Metal,UK,Birmingham
16,5/4/2017,Joe,warm_up_1,Live,Mental Jewelry,1991,Radioactive,Alternative Rock,Grunge / Post-Grunge,USA,"York, Pennsylvania"
16,5/4/2017,Joe,warm_up_2,Kansas,Leftoverture,1976,Kirshner,Progressive Rock,Arena Rock / Symphonic Prog,USA,"Topeka, Kansas"
16,5/4/2017,Joe,headliner,The Allman Brothers Band,At Fillmore East,1971,Capricorn,Southern Rock,Southern Rock / Blues Rock,USA,"Jacksonville, Florida"
17,8/10/2017,Lucas,warm_up_1,Interpol,Turn On the Bright Lights,2002,Matador,Post-Punk Revival,Post-Punk Revival / Art Punk,USA,"New York, New York"
17,8/10/2017,Lucas,warm_up_2,Serge Gainsbourg & Jane Birkin,Jane Birkin/Serge Gainsbourg,1969,Fontana,Chanson,Yé-Yé / Baroque Pop,France,Paris
17,8/10/2017,Lucas,headliner,Modest Mouse,The Moon & Antarctica,2000,Epic,Indie Rock,Indie Rock / Art Rock,USA,"Issaquah, Washington"
18,9/14/2017,John,warm_up_1,David Bowie,Pin Ups,1973,RCA,Glam Rock,Glam Rock / Art Rock,UK,London
18,9/14/2017,John,warm_up_2,Steve Earle,Townes,2009,New West,Country,Outlaw Country / Americana,USA,"Fort Monroe, Virginia"
18,9/14/2017,John,headliner,Kurt Vile,Believe I'm Going Down,2015,Matador,Indie Rock,Slacker Rock / Neo-Psychedelia,USA,"Philadelphia, Pennsylvania"
